Map,Name,Description,Class,Subclass,PMIDS
map00260,"Glycine, serine and threonine metabolism","Serine is derived from 3-phospho-D-glycerate, an intermediate of glycolysis [MD:M00020], and glycine is derived from serine. Threonine is an essential amino acid, which animals cannot synthesize. In bacteria and plants, threonine is derived from aspartate [MD:M00018].",Metabolism, Amino acid metabolism,"['10473374', '11341914', '11823218', '15470257', '15520012', '16707670', '17636255', '7639721']"
map00270,Cysteine and methionine metabolism,"Cysteine and methionine are sulfur-containing amino acids. Cysteine is synthesized from serine through different pathways in different organism groups. In bacteria and plants, cysteine is converted from serine (via acetylserine) by transfer of hydrogen sulfide [MD:M00021]. In animals, methionine-derived homocysteine is used as sulfur source and its condensation product with serine (cystathionine) is converted to cysteine [MD:M00338]. Cysteine is metabolized to pyruvate in multiple routes. Methionine is an essential amino acid, which animals cannot synthesize. In bacteria and plants, methionine is synthesized from aspartate [MD:M00017]. S-Adenosylmethionine (SAM), synthesized from methionine and ATP, is a methyl group donor in many important transfer reactions including DNA methylation for regulation of gene expression. SAM may also be used to regenerate methionine in the methionine salvage pathway [MD:M00034].",Metabolism, Amino acid metabolism,"['10613873', '12022921', '12644499', '12670965', '14551435', '15102328', '17030798', '17169919', '18391471', '18520135', '18625006', '19270684']"
map00290,"Valine, leucine and isoleucine biosynthesis",,Metabolism, Amino acid metabolism,['15292141']
map00330,Arginine and proline metabolism,,Metabolism, Amino acid metabolism,"['15590624', '16499623', '5288244']"
map00331,Clavulanic acid biosynthesis,,Metabolism, Biosynthesis of other secondary metabolites,"['14623876', '9614345']"
map00332,Carbapenem biosynthesis,"Carbapenems are broad-spectrum beta-lactam antibiotics, which are often considered as the antibiotics of last resort. A naturally occurring carbapenem, thienamycin, was first discovered in Streptomyces cattleya. This diagram shows how a simple carbapenem, carbapenem-3-carboxylate, is synthesized from malonyl-CoA and pyrroline-5-carboxylate [MD:M00675]. For structurally complex carbapenems, such as thienamycin, olivanic acid, epi-thienamycin and carbapenems of the OA-6129 group, uncertainty remains about the mechanism and timing for the inversion of the C-5 carbapenam bridgehead, the desaturation of the C-2/C-3 bond and the attachment of the C-2 and C-6 side chains.",Metabolism, Biosynthesis of other secondary metabolites,"['12147472', '12725858', '12848554', '14625287', '15174175', '18678912', '19090510', '20017478', '21263049', '21913298', '22706025', '24420617', '3988730']"
map00333,Prodigiosin biosynthesis,"Prodiginines are red-pigmented natural antibiotics that are produced as secondary metabolites and have received renewed attention because of potential clinical interests. In Serratia sp. or actinomycetes such as Streptomyces coelicolor, the tripyrrole molecules of prodigiosin and undecylprodigiosin are formed by the condensation of 4-methoxy-2,2'-bipyrrole-5-carbaldehyde and either 2-methyl-3-n-amyl-pyrrole [MD:M00837] or 2-undecylpyrrole [MD:M00838]. The Serratia pig gene cluster and the Streptomyces red gene cluster responsible for these biosynthesis pathways have been identified.",Metabolism, Biosynthesis of other secondary metabolites,"['11514230', '15528645', '15853884', '17109029']"
map00350,Tyrosine metabolism,,Metabolism, Amino acid metabolism,"['11171088', '1194238', '18435614', '8550403']"
map00360,Phenylalanine metabolism,,Metabolism, Amino acid metabolism,"['10537203', '19016485', '20660314', '9603882', '9098055']"
map00361,Chlorocyclohexane and chlorobenzene degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['10464214', '10600501', '11208799', '11423959', '12070765', '12676719', '15060023', '15489427', '16977465', '1987135', '9758802', '9148781']"
map00362,Benzoate degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['10589735', '10781543', '11053377', '11282627', '12486039', '12514037', '15277747', '17122342', '18312395', '19258534', '21219457', '8002948', '8990279']"
map00364,Fluorobenzoate degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['12957954', '1610174', '16345496', '16980423', '18355280']"
map00365,Furfural degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['20194784', '22031465']"
map00380,Tryptophan metabolism,,Metabolism, Amino acid metabolism,['15749753']
map00401,Novobiocin biosynthesis,,Metabolism, Biosynthesis of other secondary metabolites,"['11325587', '12368465', '12436260', '12480894', '12618544', '12777382', '12904558', '14622269', '14694473']"
map00402,Benzoxazinoid biosynthesis,"Benzoxazinoids (hydroxamic acids) are plant secondary metabolites that serve as important factors for host resistance against microbial pathogens and insects and for allelopathic effects. They are found in grass family and some eudicot families. The predominant benzoxazinoids are DIBOA and its 7-methoxy derivative DIMBOA, which are stored as glucosides in vacuoles. In maize, benzoxazinoid biosynthesis branches off from tryptophan biosynthesis at indole-3-glycerol phosphate, which is converted to indole by indole-3-glycerol phosphate lyase, BX1. Subsequently four cytochrome P450 monooxygenases (BX2-BX5) catalyze the introduction of four oxygen atoms into the indole moiety, yielding DIBOA. After glucosylation by UDP-glucosyltransferase (BX8/BX9), the glucoside is further modified by hydroxylation and O-methylation at C-7 to form DIMBOA-glucoside.",Metabolism, Biosynthesis of other secondary metabolites,"['11106389', '11556781', '11851909', '12620350', '16260753', '16666853', '18192444', '19577780', '9235894']"
map00403,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi.",Metabolism, Biosynthesis of other secondary metabolites,"['16494875', '17428785', '18262778', '19801473', '22750140', '23261604']"
map00404,Staurosporine biosynthesis,,Metabolism, Biosynthesis of other secondary metabolites,"['12617516', '12619684', '17119643', '23109474', '24038353', '9172332']"
map00405,Phenazine biosynthesis,,Metabolism, Biosynthesis of other secondary metabolites,"['11591691', '15502343', '19053436', '19658148', '20352425', '23897464']"
map00430,Taurine and hypotaurine metabolism,,Metabolism, Metabolism of other amino acids,"['11082195', '12358600', '12471498', '15073291', '15184572', '15340795', '15883781', '4297098']"
map00440,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos.",Metabolism, Metabolism of other amino acids,"['15574905', '15616300', '17168571', '19053721', '19489722']"
map00450,Selenocompound metabolism,,Metabolism, Metabolism of other amino acids,"['11782468', '17451884', '19051051', '20383543', '21190829']"
map00460,Cyanoamino acid metabolism,,Metabolism, Metabolism of other amino acids,"['10636899', '11575729']"
map00470,D-Amino acid metabolism,,Metabolism, Metabolism of other amino acids,"['27230378', '33788945']"
map00480,Glutathione metabolism,,Metabolism, Metabolism of other amino acids,"['10713147', '11150302', '11157967', '12049631', '12121990', '12446213', '12466271', '12675513', '12750367', '12751784', '12949079', '12967709', '14583094', '14982633', '15537651', '15610825', '17922848', '18395526', '18482986', '6798961', '7813456', '9677355', '9851611', '8892297']"
map00510,N-Glycan biosynthesis,"N-glycans or asparagine-linked glycans are major constituents of glycoproteins in eukaryotes. N-glycans are covalently attached to asparagine with the consensus sequence of Asn-X-Ser/Thr by an N-glycosidic bond, GlcNAc b1- Asn. Biosynthesis of N-glycans begins on the cytoplasmic face of the ER membrane with the transferase reaction of UDP-GlcNAc and the lipid-like precursor P-Dol (dolichol phosphate) to generate GlcNAc a1- PP-Dol. After sequential addition of monosaccharides by ALG glycosyltransferases [MD:M00055], the N-glycan precursor is attached by the OST (oligosaccharyltransferase) complex to the polypeptide chain that is being synthesized and translocated through the ER membrane. The protein-bound N-glycan precursor is subsequently trimmed, extended, and modified in the ER and Golgi by a complex series of reactions catalyzed by membrane-bound glycosidases and glycosyltransferases. N-glycans thus synthesized are classified into three types: high-mannose type, complex type, and hybrid type. Defects in N-glycan biosynthesis lead to a variety of human diseases known as congenital disorders of glycosylation [DS:H00118 H00119].",Metabolism, Glycan biosynthesis and metabolism,"['11278778', '12200473', '12684507', '15987956', '16878994', '9111134']"
map00512,Mucin type O-glycan biosynthesis,"O-glycans are a class of glycans that modify serine or threonine residues of proteins. Biosynthesis of O-glycans starts from the transfer of N-acetylgalactosamine (GalNAc) to serine or threonine. The first GalNAc may be extended with sugars including galactose, N-acetylglucosamine, fucose, or sialic acid, but not mannose, glucose, or xylose. Depending on the sugars added, there are four common O-glycan core structures, cores 1 through 4, and an additional four, cores 5 though 8. Mucins are highly O-glycosylated glycoproteins ubiquitous in mucous secretions on cell surfaces and in body fluids. Mucin O-glycans can be branched, and many sugars or groups of sugars are antigenic. Important modifications of mucin O-glycans include O-acetylation of sialic acid and O-sulfation of galactose and N-acetylglucosamine.",Metabolism, Glycan biosynthesis and metabolism,"['10207017', '10350056', '10580130', '11439191', '11821425', '12626393', '15466199', '25727146']"
map00513,Various types of N-glycan biosynthesis,,Metabolism, Glycan biosynthesis and metabolism,"['10037752', '11412862', '20233335', '8253757', '9756928', '9878780', '9878803', '9218445']"
map00514,Other types of O-glycan biosynthesis,"O-linked glycosylation is the attachment of monosaccharides to the hydroxyl groups of amino acids, mostly serine and threonine, and is found in eukaryotes, archaea and bacteria. O-glycans exhibit diverse types of modifications where the innermost monosaccharide is N-acetylgalactosamine (map00512), mannose in mammals (map00515), and others (this map) including N-acetylglucosamine, fucose, glucose, galactose, mannose in yeast and arabinose in plants.",Metabolism, Glycan biosynthesis and metabolism,"['19429925', '22669261']"
map00515,Mannose type O-glycan biosynthesis,"Biosynthesis of mammalian O-mannosyl glycans is initiated by the transfer of mannose from mannose-P-Dol to serine or threonine residue, followed by extensions with N-acetylglucosamine (GlcNAc) and galactose (Gal) to generate core M1, M2 and M3 glycans. Core M1 and M2 glycans can then be further attached by fucose residues, sialic acid terminals and sulfatded glucuroinc acid terminals. Core M3 glycan is involved in the synthesis of alpha-dystroglycan, a heavily glycosylated protein found in muscle and brain tissues. Core M3 glycan contains a tandem repeat of ribitol 5-phosphate (Rbo5P) and -alpha3-GlcA-beta3-Xyl- repeating structures. Defects of genes encoding core glycans and modified core M3 glycans are associated with various congenital diseases, such as muscular dystrophies caused by reduced O-mannosylation of alpha-dystroglycan in skeletal muscles [DS:H00120].",Metabolism, Glycan biosynthesis and metabolism,"['21945038', '24786756', '26923585', '27733679']"
map00520,Amino sugar and nucleotide sugar metabolism,,Metabolism, Glycan biosynthesis and metabolism,"['10931327', '10984043', '11447132', '11479276', '12562791', '14450717', '15134748', '15489439', '15695810', '15809294', '16237198', '16277754', '16452451', '16995900', '17085508', '17190829', '17827295', '18199744', '18304669', '2793832', '8071227', '8444803', '9811644']"
map00521,Streptomycin biosynthesis,"Streptomycin is an aminocyclitol-aminoglycoside antibiotic produced by Streptomyces griseus. Streptomycin consists of aminocyclitol (streptidine), 6-deoxyhexose (streptose), and N-methyl-L-glucosamine moieties, which are formed by independent biosynthetic pathways. All of the moieties are derived from D-glucose. The streptidine moiety is synthesized via myo-inositol, which is then oxidized at C-1 and transaminated to give scyllo-inosamine. After phosphorylation, the compound is transamidinated by arginine. The same procedure is repeated at the C-3 position. The streptose moiety is made from D-glucose via a dTDP-glucose pathway. The exact biosynthetic route for the N-methyl-L-glucosamine moiety is unknown, though the biosynthetic gene cluster have been proposed.",Metabolism, Biosynthesis of other secondary metabolites,"['1377151', '1654502', '1698764', '17390001', '19362651', '2995326', '9922132', '9238101']"
map00522,"Biosynthesis of 12-, 14- and 16-membered macrolides",,Metabolism, Metabolism of terpenoids and polyketides,"['10519556', '10972798', '11223265', '11336289', '11476481', '11752428', '11780788', '11851473', '11918808', '12031664', '12368286', '15870344', '16218575', '16514147', '16825192', '17049185', '17719493', '19124459', '19362638', '19514004', '19625248', '20418422', '20695498', '22056329', '8300527', '8830278', '9353926']"
map00523,Polyketide sugar unit biosynthesis,,Metabolism, Metabolism of terpenoids and polyketides,"['10658660', '10770761', '10972798', '11336289', '11451669', '11476481', '11514520', '11553351', '12183628', '15984840', '16514445', '16873021', '17460661', '17918933', '18807197', '20336235', '20418422', '23662776', '24911465', '26061967', '26240141', '26289554']"
map00524,"Neomycin, kanamycin and gentamicin biosynthesis",,Metabolism, Biosynthesis of other secondary metabolites,"['12374384', '12870817', '15839685', '15975512', '16506694', '17119636', '17226887', '17462573', '17482823', '17879343', '18001019', '18311744', '18550838', '18672902', '18685777', '18802637', '19362652', '19466609', '19644520', '21689223', '21983602', '23179168', '23679096', '24746560', '25600434', '25641167', '26083124', '26455715', '27120352']"
map00525,Acarbose and validamycin biosynthesis,,Metabolism, Biosynthesis of other secondary metabolites,"['17003911', '17390001', '17661520', '18648803', '19101977', '21766819', '22443545', '22944206']"
map00531,Glycosaminoglycan degradation,,Metabolism, Glycan biosynthesis and metabolism,"['27570', '3161730']"
map00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,"Glycosaminoglycans (GAGs) are linear polysaccharide chains consisting of repeating disaccharide units and form proteglycans by covalently attaching to their core proteins. Chondroitin sulfate (CS) is a glycosaminoglycan with the disaccharide unit of beta-D-galactosamine (GalNAc) and beta-D-glucuronic acid (GlcA), and often modified with ester-linked sulfate at certain positions. Dermatan sulfate (DS) is a modified form of CS, in which a portion of D-glucuronate residues is epimerized to L-iduronates (IdoA). CS and DS are linked to serine residues in core proteins via a linkage tetrasaccharide formed by the transfer of xylose and three more residues [MD:M00057]. The assembly process of CS is initiated by transferring GalNAc residue to the linkage tetrasaccharide. The polymerization is catalyzed by bifunctional enzymes (chondroitin synthases) possessing both beta 1,3 glucuronosyltransferase and beta 1,4 N-acetylgalactosaminyltransferase activities [MD:M00058]. Chondroitin polymerization also requires the action of the chondroitin polymerizing factor. There are various O-sulfation patterns in CS and DS, where 4-O sulfation and 6-O sulfation of GalNAc and 2-O-sulfation of the uronic acids (GlcA / IdoA) are mainly found.",Metabolism, Glycan biosynthesis and metabolism,"['10473568', '11042448', '11099377', '11274177', '11551958', '12512856', '12716890', '12847091', '14568616', '17239763', '17253960', '17928217', '19661164', '21138417', '22899863', '9506957']"
map00533,Glycosaminoglycan biosynthesis - keratan sulfate,"Keratan sulfate (KS) is a glycosaminoglycan with the basic disaccharide unit of N-acetyllactosamine, Gal(b1-4)GlcNAc(b1-3), with sulfate esters at C-6 of GlcNAc and Gal residues. There are two types of KS distinguished by the protein linkage: type I for N-linked via the N-glycan core structure and type II for O-linked via the O-glycan core 2 structure.",Metabolism, Glycan biosynthesis and metabolism,"['11030741', '12511560', '14706853']"
map00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,"Heparan sulfate (HS) and heparin (Hep) are glycosaminoglycans with repeating disaccharide units that consist of alternating residues of alpha-D-glucosamine (GlcN) and uronic acid, the latter being either beta-D-glucuronic acid (GlcA) or alpha-L-iduronic acid (IdoA). In these sugar residues, sulfation modification may be performed at various positions. Structural studies show that Hep possesses a higher degree of sulfation than HS. The biosynthesis of HS/Hep occurs with the addition of the first GlcNAc residue by EXTL3 glycosyltransferase after completion of tetrasaccharide linkage region attached to serine residue of a core protein. The chain polymeraization is then catalyzed by EXT1 and EXT2 transferases. As the chain polymerizes, HS/Hep undergoes a series of modification reactions including N-deacetylation, N-sulfation, epimerization, and subsequently O-sulfation. As final products of biosynthesis, HS is present in the form of hepran sulfate proteoglycan (HSPG) whereas Hep exists as a sugar chain without a core protein. The proteoglycan families with HS, as well as CS (chondroitin sulfate), DS (dermatan sulfate), and KS (keratan sulfate), are composed of two main types depending on the subcellular locations: cell membrane and extracellular matrix [BR:00535]. HS/Hep has been shown to bind to a variety of molecules, such as growth factors, chemokines, morphogens, and extracellular matrix components [BR:00536].",Metabolism, Glycan biosynthesis and metabolism,"['10318803', '10520990', '10742590', '11274177', '11390981', '15304505', '16099108', '9756849', '9988768', '9151776']"
map00540,Lipopolysaccharide biosynthesis,"Lipopolysaccharide (LPS) is the major component of the outer membrane of Gram-negative bacteria consisting of three domains: a hydrophobic anchor called lipid A, a non-repeating core oligosaccharide (OS) and a repetitive glycan polymer called O-antigen or O-polysaccharide (O-PS). The enzymes for the biosynthesis of lipid A are well conserved among Gram-negative bacterial species [MD:M00060 M00866]. The core OS connecting lipid A with O-antigen is divided into inner and outer parts. Five core types, K-12 and R1-R4, are identified in Escherichia coli, with the common inner part composed of Kdo (ketodeoxyoctulosonic acid) and Hep (heptose) residues and the outer part made of various sugar residues. O-antigen is the most variable part used for serotyping of pathogenic Escherichia coli, where about 170 types are known. All three domains are involved in toxicity, pathogenicity, antimicrobial resistance and other activities.",Metabolism, Glycan biosynthesis and metabolism,"['11751812', '12045108', '20659292', '24372821', '28630161', '30245684', '9765561', '9791168', '9587193']"
map00541,Biosynthesis of various nucleotide sugars,,Metabolism, Glycan biosynthesis and metabolism,"['10627048', '10828401', '14670712', '15629947', '18621892', '19710102', '20331420', '26207987', '30315110', '8939432']"
map00542,O-Antigen repeat unit biosynthesis,"O-antigen is a repetitive glycan polymer synthesized as the most variable part in the lipopolysaccharide (LPS) biosynthesis (map00541). Structural diversity of O-antigen repeat units results from genetic diversity as summarized here for completely sequenced Escherichia coli genomes, many of which are for pathogenic strains.",Metabolism, Glycan biosynthesis and metabolism,"['10517601', '11404020', '11976290', '12384293', '1280216', '1291048', '15625181', '15629947', '17600060', '17634307', '18156323', '19560364', '20434495', '22556057', '22875852', '23848592', '2482127', '24957618', '26391208', '28696276', '29063990', '7517391', '9673232', '9774562', '8839182', '9004408', '31778182']"
map00543,Exopolysaccharide biosynthesis,"Extracellular polysaccharides or exopolysaccharides (EPS) are diverse macromolecules synthesized by microorganisms and secreted into the surrounding environment. Major parts of biofilms for bacterial communities are formed by exopolysaccharides, such as colonic acid, alginate, Psl polysaccharide, poly-N-acetyl-glucosamine and vibrio polysaccharide. Other examples of EPSs include amylovoran and stewartan in plant-pathogenic bacteria, as well as industrially used xanthan.",Metabolism, Glycan biosynthesis and metabolism,"['11673418', '12003941', '15090514', '15231778', '16483356', '16756484', '17227761', '1730666', '18359807', '18524915', '19659934', '20466768', '21991261', '22408159', '23779107', '24520310', '26217319', '27255488', '28988302', '7780996', '8226645', '8343955', '8472258', '9660830', '9763683', '8759852', '8765060', '8765731', '8910054', '8988363', '32590169', '32788387', '32839412', '33092221', '33799945', '34207734']"
