Map,Name,Description,Class,Subclass,PMIDS
map00403,Indole diterpene alkaloid biosynthesis,"Indole diterpene alkaloids are a group of meroterpenoids consisting of a partial diterpene structure with four isoprene units and an indole moiety. The common cyclic diterpene skeleton is derived from geranylgeranyl diphosphate (GGPP) and an indole moiety is derived from tryptophan or a tryptophan precursor. They are combined in the initial step of biosynthetic reactions that generate paspaline, the first stable and less modified form required for other forms. Most indole diterpene alkaloids have potent mammalian tremorgenic activities, such as ryegrass staggers in livestock, and some have anti-insect properties. This map shows examples of indole diterpene alkaloids isolated from filamentous fungi.",Metabolism, Biosynthesis of other secondary metabolites,"['16494875', '17428785', '18262778', '19801473', '22750140', '23261604']"
map00404,Staurosporine biosynthesis,,Metabolism, Biosynthesis of other secondary metabolites,"['12617516', '12619684', '17119643', '23109474', '24038353', '9172332']"
map00405,Phenazine biosynthesis,,Metabolism, Biosynthesis of other secondary metabolites,"['11591691', '15502343', '19053436', '19658148', '20352425', '23897464']"
map00430,Taurine and hypotaurine metabolism,,Metabolism, Metabolism of other amino acids,"['11082195', '12358600', '12471498', '15073291', '15184572', '15340795', '15883781', '4297098']"
map00440,Phosphonate and phosphinate metabolism,"Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos.",Metabolism, Metabolism of other amino acids,"['15574905', '15616300', '17168571', '19053721', '19489722']"
map00450,Selenocompound metabolism,,Metabolism, Metabolism of other amino acids,"['11782468', '17451884', '19051051', '20383543', '21190829']"
map00460,Cyanoamino acid metabolism,,Metabolism, Metabolism of other amino acids,"['10636899', '11575729']"
map00470,D-Amino acid metabolism,,Metabolism, Metabolism of other amino acids,"['27230378', '33788945']"
map00510,N-Glycan biosynthesis,"N-glycans or asparagine-linked glycans are major constituents of glycoproteins in eukaryotes. N-glycans are covalently attached to asparagine with the consensus sequence of Asn-X-Ser/Thr by an N-glycosidic bond, GlcNAc b1- Asn. Biosynthesis of N-glycans begins on the cytoplasmic face of the ER membrane with the transferase reaction of UDP-GlcNAc and the lipid-like precursor P-Dol (dolichol phosphate) to generate GlcNAc a1- PP-Dol. After sequential addition of monosaccharides by ALG glycosyltransferases [MD:M00055], the N-glycan precursor is attached by the OST (oligosaccharyltransferase) complex to the polypeptide chain that is being synthesized and translocated through the ER membrane. The protein-bound N-glycan precursor is subsequently trimmed, extended, and modified in the ER and Golgi by a complex series of reactions catalyzed by membrane-bound glycosidases and glycosyltransferases. N-glycans thus synthesized are classified into three types: high-mannose type, complex type, and hybrid type. Defects in N-glycan biosynthesis lead to a variety of human diseases known as congenital disorders of glycosylation [DS:H00118 H00119].",Metabolism, Glycan biosynthesis and metabolism,"['11278778', '12200473', '12684507', '15987956', '16878994', '9111134']"
map00512,Mucin type O-glycan biosynthesis,"O-glycans are a class of glycans that modify serine or threonine residues of proteins. Biosynthesis of O-glycans starts from the transfer of N-acetylgalactosamine (GalNAc) to serine or threonine. The first GalNAc may be extended with sugars including galactose, N-acetylglucosamine, fucose, or sialic acid, but not mannose, glucose, or xylose. Depending on the sugars added, there are four common O-glycan core structures, cores 1 through 4, and an additional four, cores 5 though 8. Mucins are highly O-glycosylated glycoproteins ubiquitous in mucous secretions on cell surfaces and in body fluids. Mucin O-glycans can be branched, and many sugars or groups of sugars are antigenic. Important modifications of mucin O-glycans include O-acetylation of sialic acid and O-sulfation of galactose and N-acetylglucosamine.",Metabolism, Glycan biosynthesis and metabolism,"['10207017', '10350056', '10580130', '11439191', '11821425', '12626393', '15466199', '25727146']"
map00513,Various types of N-glycan biosynthesis,,Metabolism, Glycan biosynthesis and metabolism,"['10037752', '11412862', '20233335', '8253757', '9756928', '9878780', '9878803', '9218445']"
map00514,Other types of O-glycan biosynthesis,"O-linked glycosylation is the attachment of monosaccharides to the hydroxyl groups of amino acids, mostly serine and threonine, and is found in eukaryotes, archaea and bacteria. O-glycans exhibit diverse types of modifications where the innermost monosaccharide is N-acetylgalactosamine (map00512), mannose in mammals (map00515), and others (this map) including N-acetylglucosamine, fucose, glucose, galactose, mannose in yeast and arabinose in plants.",Metabolism, Glycan biosynthesis and metabolism,"['19429925', '22669261']"
map00515,Mannose type O-glycan biosynthesis,"Biosynthesis of mammalian O-mannosyl glycans is initiated by the transfer of mannose from mannose-P-Dol to serine or threonine residue, followed by extensions with N-acetylglucosamine (GlcNAc) and galactose (Gal) to generate core M1, M2 and M3 glycans. Core M1 and M2 glycans can then be further attached by fucose residues, sialic acid terminals and sulfatded glucuroinc acid terminals. Core M3 glycan is involved in the synthesis of alpha-dystroglycan, a heavily glycosylated protein found in muscle and brain tissues. Core M3 glycan contains a tandem repeat of ribitol 5-phosphate (Rbo5P) and -alpha3-GlcA-beta3-Xyl- repeating structures. Defects of genes encoding core glycans and modified core M3 glycans are associated with various congenital diseases, such as muscular dystrophies caused by reduced O-mannosylation of alpha-dystroglycan in skeletal muscles [DS:H00120].",Metabolism, Glycan biosynthesis and metabolism,"['21945038', '24786756', '26923585', '27733679']"
map00521,Streptomycin biosynthesis,"Streptomycin is an aminocyclitol-aminoglycoside antibiotic produced by Streptomyces griseus. Streptomycin consists of aminocyclitol (streptidine), 6-deoxyhexose (streptose), and N-methyl-L-glucosamine moieties, which are formed by independent biosynthetic pathways. All of the moieties are derived from D-glucose. The streptidine moiety is synthesized via myo-inositol, which is then oxidized at C-1 and transaminated to give scyllo-inosamine. After phosphorylation, the compound is transamidinated by arginine. The same procedure is repeated at the C-3 position. The streptose moiety is made from D-glucose via a dTDP-glucose pathway. The exact biosynthetic route for the N-methyl-L-glucosamine moiety is unknown, though the biosynthetic gene cluster have been proposed.",Metabolism, Biosynthesis of other secondary metabolites,"['1377151', '1654502', '1698764', '17390001', '19362651', '2995326', '9922132', '9238101']"
map00525,Acarbose and validamycin biosynthesis,,Metabolism, Biosynthesis of other secondary metabolites,"['17003911', '17390001', '17661520', '18648803', '19101977', '21766819', '22443545', '22944206']"
map00531,Glycosaminoglycan degradation,,Metabolism, Glycan biosynthesis and metabolism,"['27570', '3161730']"
map00533,Glycosaminoglycan biosynthesis - keratan sulfate,"Keratan sulfate (KS) is a glycosaminoglycan with the basic disaccharide unit of N-acetyllactosamine, Gal(b1-4)GlcNAc(b1-3), with sulfate esters at C-6 of GlcNAc and Gal residues. There are two types of KS distinguished by the protein linkage: type I for N-linked via the N-glycan core structure and type II for O-linked via the O-glycan core 2 structure.",Metabolism, Glycan biosynthesis and metabolism,"['11030741', '12511560', '14706853']"
map00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,"Heparan sulfate (HS) and heparin (Hep) are glycosaminoglycans with repeating disaccharide units that consist of alternating residues of alpha-D-glucosamine (GlcN) and uronic acid, the latter being either beta-D-glucuronic acid (GlcA) or alpha-L-iduronic acid (IdoA). In these sugar residues, sulfation modification may be performed at various positions. Structural studies show that Hep possesses a higher degree of sulfation than HS. The biosynthesis of HS/Hep occurs with the addition of the first GlcNAc residue by EXTL3 glycosyltransferase after completion of tetrasaccharide linkage region attached to serine residue of a core protein. The chain polymeraization is then catalyzed by EXT1 and EXT2 transferases. As the chain polymerizes, HS/Hep undergoes a series of modification reactions including N-deacetylation, N-sulfation, epimerization, and subsequently O-sulfation. As final products of biosynthesis, HS is present in the form of hepran sulfate proteoglycan (HSPG) whereas Hep exists as a sugar chain without a core protein. The proteoglycan families with HS, as well as CS (chondroitin sulfate), DS (dermatan sulfate), and KS (keratan sulfate), are composed of two main types depending on the subcellular locations: cell membrane and extracellular matrix [BR:00535]. HS/Hep has been shown to bind to a variety of molecules, such as growth factors, chemokines, morphogens, and extracellular matrix components [BR:00536].",Metabolism, Glycan biosynthesis and metabolism,"['10318803', '10520990', '10742590', '11274177', '11390981', '15304505', '16099108', '9756849', '9988768', '9151776']"
map00540,Lipopolysaccharide biosynthesis,"Lipopolysaccharide (LPS) is the major component of the outer membrane of Gram-negative bacteria consisting of three domains: a hydrophobic anchor called lipid A, a non-repeating core oligosaccharide (OS) and a repetitive glycan polymer called O-antigen or O-polysaccharide (O-PS). The enzymes for the biosynthesis of lipid A are well conserved among Gram-negative bacterial species [MD:M00060 M00866]. The core OS connecting lipid A with O-antigen is divided into inner and outer parts. Five core types, K-12 and R1-R4, are identified in Escherichia coli, with the common inner part composed of Kdo (ketodeoxyoctulosonic acid) and Hep (heptose) residues and the outer part made of various sugar residues. O-antigen is the most variable part used for serotyping of pathogenic Escherichia coli, where about 170 types are known. All three domains are involved in toxicity, pathogenicity, antimicrobial resistance and other activities.",Metabolism, Glycan biosynthesis and metabolism,"['11751812', '12045108', '20659292', '24372821', '28630161', '30245684', '9765561', '9791168', '9587193']"
map00541,Biosynthesis of various nucleotide sugars,,Metabolism, Glycan biosynthesis and metabolism,"['10627048', '10828401', '14670712', '15629947', '18621892', '19710102', '20331420', '26207987', '30315110', '8939432']"
map00550,Peptidoglycan biosynthesis,Peptidoglycan is a macromolecule made of long aminosugar strands cross-linked by short peptides. It forms the cell wall in bacteria surrounding the cytoplasmic membrane. The glycan strands are typically comprised of repeating N-acetylglucosamine (GlcNAc) and N-acetylmuramic acid (MurNAc) disaccharides. Each MurNAc is linked to a peptide of three to five amino acid residues. Disaccharide subunits are first assembled on the cytoplasmic side of the bacterial membrane on a polyisoprenoid anchor (lipid I and II). Polymerization of disaccharide subunits by transglycosylases and cross-linking of glycan strands by transpeptidases occur on the other side of the membrane. Bacterial cell wall biosynthesis inhibitors form a major class of antibiotics.,Metabolism, Glycan biosynthesis and metabolism,"['11320055', '11699883', '18077448', '18081839', '18266853']"
map00561,Glycerolipid metabolism,,Metabolism, Lipid metabolism,"['11294844', '8662716', '8995384']"
map00562,Inositol phosphate metabolism,,Metabolism, Carbohydrate metabolism,"['14993306', '18310071']"
map00564,Glycerophospholipid metabolism,,Metabolism, Lipid metabolism,"['10092508', '10542045', '10938271', '12431977', '14663079', '1512203', '15522832', '1649829']"
map00565,Ether lipid metabolism,,Metabolism, Lipid metabolism,"['11015622', '11275267', '15788404']"
map00572,Arabinogalactan biosynthesis - Mycobacterium,"Just like lipoarabinomannan (map00571), arabinogalactan (AG) is a major heteropolysaccharide found on the mycobacterium cell wall. AG consists of a linear galactan chain of galactofuranosyl (Galf) residues covalently connected to peptidoglycan (PG), with branches of three similar arabinan chains comprising arabinofuranosyl (Araf) residues. The non-reducing ends of arabinans are often covalently attached to the long fatty acids of mycolic acids. Thus, the covalently linked network of PG and mycolylated AG, termed the mycolyl-arabinogalactan-peptidoglycan (mAGP) complex, forms an exceptionally robust cell wall and provides a permeability barrier to antibiotics.",Metabolism, Glycan biosynthesis and metabolism,"['16595677', '18055597', '18627460', '1906464', '21555513', '24915502', '26104198', '26488279', '27417139']"
map00590,Arachidonic acid metabolism,,Metabolism, Lipid metabolism,"['10908295', '11328810', '11679404', '14622984', '14626496', '14636671', '14660610', '15205388', '15292194', '9812980']"
map00592,alpha-Linolenic acid metabolism,,Metabolism, Lipid metabolism,"['14522973', '15141068', '15670154', '16116284', '17172287', '17215350']"
map00600,Sphingolipid metabolism,,Metabolism, Lipid metabolism,"['10366774', '10652340', '11305904', '12011104', '1495423', '8457204']"
map00603,Glycosphingolipid biosynthesis - globo and isoglobo series,,Metabolism, Glycan biosynthesis and metabolism,"['10748143', '10837462', '10854427', '10854428', '12716912']"
map00621,Dioxin degradation,"Dioxins and dioxin-like compounds, including PCDDs, PCDFs and PCBs, are persistent organic pollutants (POPs) that are resistant to environmental degradation. However, POPs can be degraded by certain microorganisms with acquisition of a novel set of enzymes, such as biphenyl degradation by Paraburkholderia xenovorans LB400 involving four novel enzymes encoded in operon-like structures [MD:M00543]. DDT, another POP, and carbazol are also known to be degraded in similar pathways.",Metabolism, Xenobiotics biodegradation and metabolism,"['11322788', '12450109', '12483604', '12501294', '16775784', '17142386', '23415487', '9244273']"
map00622,Xylene degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['11375157', '15127183', '7768806', '8631713', '9150211']"
map00623,Toluene degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['10589735', '10629170', '11418570', '15184119', '15687214', '2050632', '8828208', '9006050']"
map00625,Chloroalkane and chloroalkene degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['10347028', '11999413', '12411705', '15294827', '15865156', '16957242', '1768109', '9687453', '8981984']"
map00626,Naphthalene degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['11097910', '11823228', '1447127', '15372028', '15500985', '16461648', '19854898', '8226631', '8981987']"
map00627,Aminobenzoate degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['11344134', '12670968', '14711645', '3078743', '8782397']"
map00630,Glyoxylate and dicarboxylate metabolism,,Metabolism, Carbohydrate metabolism,"['10978349', '11513957', '16407450', '18065535', '18819910', '21252347', '9596633']"
map00642,Ethylbenzene degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['12420173', '15551059']"
map00643,Styrene degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['11544206', '17189487']"
map00680,Methane metabolism,"Methane is metabolized principally by methanotrophs and methanogens in the global carbon cycle. Methanotrophs consume methane as the only source of carbon, while methanogens produce methane as a metabolic byproduct. Methylotrophs, which are microorganisms that can obtain energy for growth by oxidizing one-carbon compounds, such as methanol and methane, are situated between methanotrophs and methanogens. Methanogens can obtain energy for growth by converting a limited number of substrates to methane under anaerobic conditions. Three types of methanogenic pathways are known: CO2 to methane [MD:M00567], methanol to methane [MD:M00356], and acetate to methane [MD:M00357]. Methanogens use 2-mercaptoethanesulfonate (CoM; coenzyme M) as the terminal methyl carrier in methanogenesis and have four enzymes for CoM biosynthesis [MD:M00358]. Coenzyme B-Coenzyme M heterodisulfide reductase (Hdr), requiring for the final reaction steps of methanogenic pathway, is divided into two types: cytoplasmic HdrABC in most methanogens and membrane-bound HdrED in Methanosarcina species. In methanotrophs and methyltrophs methane is oxidized to form formaldehyde, which is at the diverging point for further oxidation to CO2 for energy source and assimilation for biosynthesis. There are three pathways that convert formaldehyde to C2 or C3 compounds: serine pathway [MD:M00346], ribulose monophosphate pathway [MD:M00345], and xylulose monophosphate pathway [MD:M00344]. The first two pathways are found in prokaryotes and the third is found in yeast. As a special case of methylotrophs, various amines can be used as carbon sources in trimethylamine metabolism [MD:M00563].",Metabolism, Energy metabolism,"['11830598', '15168610', '15353801', '16024727', '16278835', '16385054', '16428816', '18587410', '20437165']"
map00720,Other carbon fixation pathways,"Carbon fixation is an important pathway for autotrophs living in various environments. Plants and cyanobacteria fix CO2 as organic compounds using solar energy mainly by the reductive pentose phosphate cycle (also called Calvin cycle, Calvin-Benson cycle, or Calvin-Benson-Bassham cycle) [MD:M00165]. There are, at least, five additional carbon fixation pathways known to exist in autotrophic bacteria and archaea, which differ in reducing compounds, energy source, and oxygen sensitivity of enzymes. (i) The reductive citric acid cycle (Arnon-Buchanan cycle) [MD:M00173] is found in microaerophiles and anaerobes, such as green sulfur bacteria. In one complete turn of this cycle, four molecules of CO2 are fixed by the enzymes that are sensitive to oxygen, resulting in the production of one molecule of oxaloacetate, which is itself an intermediate of the cycle. (ii) The reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) [MD:M00377] is found in strictly anaerobic bacteria and archaea (Proteobacteria, Planctomycetes, Spirochaetes, and Euryarchaeota), some of which are methane-forming. A bifunctional enzyme, carbon monoxide dehydrogenase/acetyl-CoA synthase, catalyzes the reactions from CO2 to CO and from CO2 to a methyl group, and then to generate acetyl-CoA. (iii) The 3-hydroxypropionate bicycle [MD:M00376] is found in some green non-sulphur bacteria of the family Chloroflexaceae. In one complete turn of this bicycle, three molecules of bicarbonate are converted into one molecule of pyruvate. In addition, this bicycle provides the secondary benefit of useful intermediates for biosynthesis: acetyl-CoA, glyoxylate, and succinyl-CoA. (iv) The hydroxypropionate-hydroxybutyrate cycle [MD:M00375] is found in aerobic Crenarchaeota, Acidianus, Metallosphaera, and Sulfolobales. Some of the intermediates and the carboxylation reactions are the same as in the 3-hydroxypropionate bicycle. One complete turn of this cycle generates two molecules of acetyl-CoA, one of which is reutilized in the the cycle and the other is removed for cell material biosynthesis. (v) The dicarboxylate-hydroxybutyrate cycle [MD:M00374] was named after its intermediates: succinate (a kind of dicarboxylate) and hydroxybutyrate. This cycle has been found only in Ignicoccus hospitals, a strictly anaerobic hyperthermophilic archaea. Recent genome study suggests that this cycle may exist in Desulfurococcales (to which Ignicoccus belongs) and Thermoproteales (a taxon close to the origin of archaea). The first half of the cycle, from acetyl-CoA to succinate-CoA, corresponds to the reductive citric acid cycle and the latter half of the cycle, from succinate-CoA to two molecules of acetyl-CoA, corresponds to the hydroxypropionate-hydroxybutyrate cycle.",Metabolism, Energy metabolism,"['11827525', '15838028', '18511565', '19429610', '19955419', '3096193']"
map00730,Thiamine metabolism,,Metabolism, Metabolism of cofactors and vitamins,"['12777485', '14567704', '15614489', '19348578', '22031445', '22616866']"
map00740,Riboflavin metabolism,,Metabolism, Metabolism of cofactors and vitamins,"['11856310', '12136096', '12867427', '16042598']"
map00750,Vitamin B6 metabolism,,Metabolism, Metabolism of cofactors and vitamins,"['10225425', '10753941', '12269807', '16157873', '22276911', '9696782']"
map00760,Nicotinate and nicotinamide metabolism,,Metabolism, Metabolism of cofactors and vitamins,"['11514508', '13475371', '16321959', '16894175', '21953451', '5835946']"
map00790,Folate biosynthesis,,Metabolism, Metabolism of cofactors and vitamins,"['12571226', '12893295', '16632608', '18092812', '1902669', '19675644', '21867484']"
map00791,Atrazine degradation,,Metabolism, Xenobiotics biodegradation and metabolism,"['16085834', '16597948', '25847245']"
map00900,Terpenoid backbone biosynthesis,"Terpenoids, also known as isoprenoids, are a large class of natural products consisting of isoprene (C5) units. There are two biosynthetic pathways, the mevalonate pathway [MD:M00095] and the non-mevalonate pathway or the MEP/DOXP pathway [MD:M00096], for the terpenoid building blocks: isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). The action of prenyltransferases then generates higher-order building blocks: geranyl diphosphate (GPP), farsenyl diphosphate (FPP), and geranylgeranyl diphosphate (GGPP), which are the precursors of monoterpenoids (C10), sesquiterpenoids (C15), and diterpenoids (C20), respectively. Condensation of these building blocks gives rise to the precursors of sterols (C30) and carotenoids (C40). The MEP/DOXP pathway is absent in higher animals and fungi, but in green plants the MEP/DOXP and mevalonate pathways co-exist in separate cellular compartments. The MEP/DOXP pathway, operating in the plastids, is responsible for the formation of essential oil monoterpenes and linalyl acetate, some sesquiterpenes, diterpenes, and carotenoids and phytol. The mevalonate pathway, operating in the cytosol, gives rise to triterpenes, sterols, and most sesquiterpenes.",Metabolism, Metabolism of terpenoids and polyketides,"['12777052', '16262699', '24375100', '9858571']"
