PMID,Title,DOI,Abstract
10364407,A gene encoding the cytokinin enzyme zeatin O-xylosyltransferase of Phaseolus vulgaris.,10.1104/pp.120.2.553,"Zeatin is the most active and ubiquitous form of the naturally occurring cytokinins. Glycosyl conjugates of zeatin are found in many plant tissues and are considered important for storage and protection against degradative enzymes. Two enzymes catalyzing the formation of O-glycosyl derivatives of zeatin have been characterized, O-glucosyltransferase and O-xylosyltransferase, occurring in seeds of lima bean (Phaseolus lunatus) and bean (Phaseolus vulgaris), respectively. Recently, the ZOG1 gene (zeatin O-glucosyltansferase) was isolated from P. lunatis (). Based on the ZOG1 sequence, the ZOX1 gene (zeatin O-xylosyltransferase) was cloned from P. vulgaris. ZOX1 contains an open reading frame of 1362 bp that codes for a 454-amino acid peptide of 51 kD. The recombinant protein has properties identical to the native enzyme: it catalyzes O-xylosylzeatin formation with UDP-Xyl as a glycosyl donor but does not recognize UDP-Glucose as a substrate. The ZOX1 and ZOG1 genes exhibit 93% identity at the nucleotide level and 90% similarity at the amino acid level. Neither gene contains introns. These zeatin-specific genes and their promoters will be useful for studies of the regulation of active versus storage forms of cytokinins. Comparison of sequences encoding similar enzymes with distinct substrate specificity may lead to identification of epitopes specific to cytokinin and glycosyl donor molecules."
10366774,Metabolism and selected functions of sphingolipids in the yeast Saccharomyces cerevisiae.,10.1016/s1388-1981(99)00068-2,"Our knowledge of sphingolipid metabolism and function in Saccharomyces cerevisiae is growing rapidly. Here we discuss the current status of sphingolipid metabolism including recent evidence suggesting that exogenous sphingoid long-chain bases must first be phosphorylated and then dephosphorylated before incorporation into ceramide. Phenotypes of strains defective in sphingolipid metabolism are discussed because they provide hints about the undiscovered functions of sphingolipids and are one of the major reasons for studying this model eukaryote. The long-chain base phosphates, dihydrosphingosine-1-phosphate and phytosphingosine-1-phosphate, have been hypothesized to play roles in heat stress resistance, perhaps acting as signaling molecules. We evaluate the data supporting this hypothesis and suggest future experiments needed to verify it. Finally, we discuss recent clues that may help to reveal how sphingolipid synthesis and total cellular sphingolipid content are regulated."
10394365,The crystal structure of the human hepatitis B virus capsid.,10.1016/s1097-2765(01)80009-5,"Hepatitis B is a small enveloped DNA virus that poses a major hazard to human health. The crystal structure of the T = 4 capsid has been solved at 3.3 A resolution, revealing a largely helical protein fold that is unusual for icosahedral viruses. The monomer fold is stabilized by a hydrophobic core that is highly conserved among human viral variants. Association of two amphipathic alpha-helical hairpins results in formation of a dimer with a four-helix bundle as the major central feature. The capsid is assembled from dimers via interactions involving a highly conserved region near the C terminus of the truncated protein used for crystallization. The major immunodominant region lies at the tips of the alpha-helical hairpins that form spikes on the capsid surface."
10473374,Role of Ngamma-acetyldiaminobutyrate as an enzyme stabilizer and an intermediate in the biosynthesis of hydroxyectoine.,10.1128/AEM.65.9.3774-3779.1999,"Strain CHR63 is a salt-sensitive mutant of the moderately halophilic wild-type strain Halomonas elongata DSM 3043 that is affected in the ectoine synthase gene (ectC). This strain accumulates large amounts of Ngamma-acetyldiaminobutyrate (NADA), the precursor of ectoine (D. Cánovas, C. Vargas, F. Iglesias-Guerra, L. N. Csonka, D. Rhodes, A. Ventosa, and J. J. Nieto, J. Biol. Chem. 272:25794-25801, 1997). Hydroxyectoine, ectoine, and glucosylglycerate were also identified by nuclear magnetic resonance (NMR) as cytoplasmic organic solutes in this mutant. Accumulation of NADA, hydroxyectoine, and ectoine was osmoregulated, whereas the levels of glucosylglycerate decreased at higher salinities. The effect of the growth stage on the accumulation of solutes was also investigated. NADA was purified from strain CHR63 and was shown to protect the thermolabile enzyme rabbit muscle lactate dehydrogenase against thermal inactivation. The stabilizing effect of NADA was greater than the stabilizing effect of ectoine or potassium diaminobutyrate. A (1)H NMR analysis of the solutes accumulated by the wild-type strain and mutants CHR62 (ectA::Tn1732) and CHR63 (ectC::Tn1732) indicated that H. elongata can synthesize hydroxyectoine by two different pathways-directly from ectoine or via an alternative pathway that converts NADA into hydroxyectoine without the involvement of ectoine."
10476960,Structure of a bacterial 30S ribosomal subunit at 5.5 A resolution.,10.1038/23631,"The 30S ribosomal subunit binds messenger RNA and the anticodon stem-loop of transfer RNA during protein synthesis. A crystallographic analysis of the structure of the subunit from the bacterium Thermus thermophilus is presented. At a resolution of 5.5 A, the phosphate backbone of the ribosomal RNA is visible, as are the alpha-helices of the ribosomal proteins, enabling double-helical regions of RNA to be identified throughout the subunit, all seven of the small-subunit proteins of known crystal structure to be positioned in the electron density map, and the fold of the entire central domain of the small-subunit ribosomal RNA to be determined."
10476961,Placement of protein and RNA structures into a 5 A-resolution map of the 50S ribosomal subunit.,10.1038/23641,"We have calculated at 5.0 A resolution an electron-density map of the large 50S ribosomal subunit from the bacterium Haloarcula marismortui by using phases derived from four heavy-atom derivatives, intercrystal density averaging and density-modification procedures. More than 300 base pairs of A-form RNA duplex have been fitted into this map, as have regions of non-A-form duplex, single-stranded segments and tetraloops. The long rods of RNA crisscrossing the subunit arise from the stacking of short, separate double helices, not all of which are A-form, and in many places proteins crosslink two or more of these rods. The polypeptide exit channel was marked by tungsten cluster compounds bound in one heavy-atom-derivatized crystal. We have determined the structure of the translation-factor-binding centre by fitting the crystal structures of the ribosomal proteins L6, L11 and L14, the sarcin-ricin loop RNA, and the RNA sequence that binds L11 into the electron density. We can position either elongation factor G or elongation factor Tu complexed with an aminoacylated transfer RNA and GTP onto the factor-binding centre in a manner that is consistent with results from biochemical and electron microscopy studies."
10497122,X-ray crystal structures of 70S ribosome functional complexes.,10.1126/science.285.5436.2095,"Structures of 70S ribosome complexes containing messenger RNA and transfer RNA (tRNA), or tRNA analogs, have been solved by x-ray crystallography at up to 7.8 angstrom resolution. Many details of the interactions between tRNA and the ribosome, and of the packing arrangements of ribosomal RNA (rRNA) helices in and between the ribosomal subunits, can be seen. Numerous contacts are made between the 30S subunit and the P-tRNA anticodon stem-loop; in contrast, the anticodon region of A-tRNA is much more exposed. A complex network of molecular interactions suggestive of a functional relay is centered around the long penultimate stem of 16S rRNA at the subunit interface, including interactions involving the ""switch"" helix and decoding site of 16S rRNA, and RNA bridges from the 50S subunit."
10499798,Crystal structure of Thermus aquaticus core RNA polymerase at 3.3 A resolution.,10.1016/s0092-8674(00)81515-9,"The X-ray crystal structure of Thermus aquaticus core RNA polymerase reveals a ""crab claw""-shaped molecule with a 27 A wide internal channel. Located on the back wall of the channel is a Mg2+ ion required for catalytic activity, which is chelated by an absolutely conserved motif from all bacterial and eukaryotic cellular RNA polymerases. The structure places key functional sites, defined by mutational and cross-linking analysis, on the inner walls of the channel in close proximity to the active center Mg2+. Further out from the catalytic center, structural features are found that may be involved in maintaining the melted transcription bubble, clamping onto the RNA product and/or DNA template to assure processivity, and delivering nucleotide substrates to the active center."
10517845,Ascorbate biosynthesis in Arabidopsis cell suspension culture.,10.1104/pp.121.2.535,"The biosynthesis of L-ascorbic acid (L-AA) in an Arabidopsis (L.) Heynh. cell suspension culture was studied by quantifying the effects of incubation with a range of potential biosynthetic precursors, analogs, and inhibitors on the intracellular levels of reduced and oxidized forms of L-AA. Our results support the recently published biosynthetic pathway of L-AA from L-galactose (G.L. Wheeler, M.A. Jones, N. Smirnoff [1998] Nature 393: 365-369), but suggest that Arabidopsis cell suspension culture simultaneously contains two other routes leading to L-AA. The possible physiological significance of these alternate routes is discussed."
10520990,A novel role for 3-O-sulfated heparan sulfate in herpes simplex virus 1 entry.,10.1016/s0092-8674(00)80058-6,"Herpes simplex virus type 1 (HSV-1) binds to cells through interactions of viral glycoproteins gB and gC with heparan sulfate chains on cell surface proteoglycans. This binding is not sufficient for viral entry, which requires fusion between the viral envelope and cell membrane. Here, we show that heparan sulfate modified by a subset of the multiple D-glucosaminyl 3-O-sulfotransferase isoforms provides sites for the binding of a third viral glycoprotein, gD, and for initiation of HSV-1 entry. We conclude that susceptibility of cells to HSV-1 entry depends on (1) presence of heparan sulfate chains to which virus can bind and (2) 3-O-sulfation of specific glucosamine residues in heparan sulfate to generate gD-binding sites or the expression of other previously identified gD-binding receptors."
10537203,Genetic organization and characteristics of the 3-(3-hydroxyphenyl)propionic acid degradation pathway of Comamonas testosteroni TA441.,10.1099/00221287-145-10-2813,"Comamonas testosteroni TA441 degrades 3-(3-hydroxyphenyl)propionate (3HPP) via the meta pathway. A gene cluster required for degradation of 3HPP was cloned from strain TA441 and sequenced. The genes encoding six catabolic enzymes, a flavin-type hydroxylase (mhpA), extradiol dioxygenase (mhpB), 2-keto-4-pentenoate hydratase (mhpD), acetaldehyde dehydrogenase (acylating) (mhpF), 4-hydroxy-2-ketovalerate aldolase (mhpE) and the meta cleavage compound hydrolase (mhpC), were found in this cluster, encoded in this order. mhpD and mhpF were separated by two genes, orf4 and orf5, which were not necessary for growth on 3HPP. The gene mhpR, encoding a putative transcriptional activator of the IcIR family, was located adjacent to mhpA in the opposite orientation. Disruption of the mhpB or mhpR genes affected growth on 3HPP or trans-3-hydroxycinnamate. The mhpB and mhpC gene products showed high specificity for 3-(2,3-dihydroxyphenyl)propionate (DHPP) and the meta cleavage compound produced from DHPP, respectively."
10542045,"Phosphatidic acid, a key intermediate in lipid metabolism.",10.1046/j.1432-1327.1999.00822.x,"Phosphatidic acid (PtdOH) is a key intermediate in glycerolipid biosynthesis. Two different pathways are known for de novo formation of this compound, namely (a) the Gro3P (glycerol 3-phosphate) pathway, and (b) the GrnP (dihydroxyacetone phosphate) pathway. Whereas the former route of PtdOH synthesis is present in bacteria and all types of eukaryotes, the GrnP pathway is restricted to yeast and mammalian cells. In this review article, we describe the enzymes catalyzing de novo formation of PtdOH, their properties and their occurrence in different cell types and organelles. Much attention has recently been paid to the subcellular localization of enzymes involved in the biosynthesis of PtdOH. In all eukaryotic cells, microsomes (ER) harbour the complete set of enzymes catalyzing these pathways and are thus the usual organelle for PtdOH formation. In contrast, the contribution of mitochondria to PtdOH synthesis is restricted to certain enzymes and depends on the cell type. In addition, chloroplasts of plants, lipid particles of the yeast, and peroxisomes of mammalian cells are significantly involved in PtdOH biosynthesis. Redundant systems of acyltransferases, the interplay of organelles, regulation of the pathway on the compartmental level, and finally the contribution of alternative pathways (phosphorylation of diacylglycerol and cleavage of phospholipids by phospholipases) to PtdOH biosynthesis appear to be required for the balanced formation of this important lipid intermediate. Dysfunction of enzymes involved in PtdOH synthesis can result in severe defects of various cellular processes. In this context, the possible physiological role(s) of PtdOH and its related metabolites, lysophosphatidic acid and diacylglycerol, will be discussed."
10553913,A triple beta-spiral in the adenovirus fibre shaft reveals a new structural motif for a fibrous protein.,10.1038/44880,"Human adenoviruses are responsible for respiratory, gastroenteric and ocular infections and can serve as gene therapy vectors. They form icosahedral particles with 240 copies of the trimeric hexon protein arranged on the planes and a penton complex at each of the twelve vertices. The penton consists of a pentameric base, implicated in virus internalization, and a protruding trimeric fibre, responsible for receptor attachment. The fibres are homo-trimeric proteins containing an amino-terminal penton base attachment domain, a long, thin central shaft and a carboxy-terminal cell attachment or head domain. The shaft domain contains a repeating sequence motif with an invariant glycine or proline and a conserved pattern of hydrophobic residues. Here we describe the crystal structure at 2.4 A resolution of a recombinant protein containing the four distal repeats of the adenovirus type 2 fibre shaft plus the receptor-binding head domain. The structure reveals a novel triple beta-spiral fibrous fold for the shaft. Implications for folding of fibrous proteins (misfolding of shaft peptides leads to amyloid-like fibrils) and for the design of a new class of artificial, silk-like fibrous materials are discussed."
10567367,"Purification, cloning, and heterologous expression of a catalytically efficient flavonol 3-O-galactosyltransferase expressed in the male gametophyte of Petunia hybrida.",10.1074/jbc.274.48.34011,"Flavonols are plant-specific molecules that are required for pollen germination in maize and petunia. They exist in planta as both the aglycone and glycosyl conjugates. We identified a flavonol 3-O-galactosyltransferase (F3GalTase) that is expressed exclusively in the male gametophyte and controls the formation of a pollen-specific class of glycosylated flavonols. Thus an essential step to understanding flavonol-induced germination is the characterization of F3GalTase. Amino acid sequences of three peptide fragments of F3GalTase purified from petunia pollen were used to isolate a full-length cDNA clone. RNA gel blot analysis and enzyme assays confirmed that F3GalTase expression is restricted to pollen. Heterologous expression of the F3GalTase cDNA in Escherichia coli yielded active recombinant enzyme (rF3GalTase) which had the identical substrate specificity as the native enzyme. Unlike the relatively nonspecific substrate usage of flavonoid glycosyltransferases from sporophytic tissues, F3GalTase uses only UDP-galactose and flavonols to catalyze the formation of flavonol 3-O-galactosides. Kinetic analysis showed that the k(cat)/K(m) values of rF3GalTase, using kaempferol and quercetin as substrates, approaches that of a catalytically perfect enzyme. rF3GalTase catalyzes the reverse reaction, generation of flavonols from UDP and flavonol 3-O-galactosides, almost as efficiently as the forward reaction. The biochemical characteristics of F3GalTase are discussed in the context of a role in flavonol-induced pollen germination."
10572115,"Bacillus subtilis yckG and yckF encode two key enzymes of the ribulose monophosphate pathway used by methylotrophs, and yckH is required for their expression.",10.1128/JB.181.23.7154-7160.1999,"The ribulose monophosphate (RuMP) pathway is one of the metabolic pathways for the synthesis of compounds containing carbon-carbon bonds from one-carbon units and is found in many methane- and methanol-utilizing bacteria, which are known as methylotrophs. The characteristic enzymes of this pathway are 3-hexulose-6-phosphate synthase (HPS) and 6-phospho-3-hexuloisomerase (PHI), neither of which was thought to exist outside methylotrophs. However, the presumed yckG gene product (YckG) of Bacillus subtilis shows a primary structure similar to that of methylotroph HPS (F. Kunst et al., Nature 390:249-256, 1997). We have also investigated the sequence similarity between the yckF gene product (YckF) and methylotroph PHI (Y. Sakai, R. Mitsui, Y. Katayama, H. Yanase, and N. Kato, FEMS Microbiol. Lett. 176:125-130, 1999) and found that the yckG and yckF genes of B. subtilis express enzymatic activities of HPS and PHI, respectively. Both of these activities were concomitantly induced in B. subtilis by formaldehyde, with induction showing dependence on the yckH gene, but were not induced by methanol, formate, or methylamine. Disruption of either gene caused moderate sensitivity to formaldehyde, suggesting that these enzymes may act as a detoxification system for formaldehyde in B. subtilis. In conclusion, we found an active yckG (for HPS)-yckF (for PHI) gene structure (now named hxlA-hxlB) in a nonmethylotroph, B. subtilis, which inherently preserves the RuMP pathway."
10580130,Pathways of O-glycan biosynthesis in cancer cells.,10.1016/s0304-4165(99)00170-1,"Glycoproteins with O-glycosidically linked carbohydrate chains of complex structures and functions are found in secretions and on the cell surfaces of cancer cells. The structures of O-glycans are often unusual or abnormal in cancer, and greatly contribute to the phenotype and biology of cancer cells. Some of the mechanisms of changes in O-glycosylation pathways have been determined in cancer model systems. However, O-glycan biosynthesis is a complex process that is still poorly understood. The glycosyltransferases and sulfotransferases that synthesize O-glycans appear to exist as families of related enzymes of which individual members are expressed in a tissue- and growth-specific fashion. Studies of their regulation in cancer may reveal the connection between cancerous transformation and glycosylation which may help to understand and control the abnormal biology of tumor cells. Cancer diagnosis may be based on the appearance of certain glycosylated epitopes, and therapeutic avenues have been designed to attack cancer cells via their glycans."
10581243,"NF-kappaB activation by a signaling complex containing TRAF2, TANK and TBK1, a novel IKK-related kinase.",10.1093/emboj/18.23.6694,"The activation of NF-kappaB by receptors in the tumor necrosis factor (TNF) receptor and Toll/interleukin-1 (IL-1) receptor families requires the TRAF family of adaptor proteins. Receptor oligomerization causes the recruitment of TRAFs to the receptor complex, followed by the activation of a kinase cascade that results in the phosphorylation of IkappaB. TANK is a TRAF-binding protein that can inhibit the binding of TRAFs to receptor tails and can also inhibit NF-kappaB activation by these receptors. However, TANK also displays the ability to stimulate TRAF-mediated NF-kappaB activation. In this report, we investigate the mechanism of the stimulatory activity of TANK. We find that TANK interacts with TBK1 (TANK-binding kinase 1), a novel IKK-related kinase that can activate NF-kappaB in a kinase-dependent manner. TBK1, TANK and TRAF2 can form a ternary complex, and complex formation appears to be required for TBK1 activity. Kinase-inactive TBK1 inhibits TANK-mediated NF-kappaB activation but does not block the activation mediated by TNF-alpha, IL-1 or CD40. The TBK1-TANK-TRAF2 signaling complex functions upstream of NIK and the IKK complex and represents an alternative to the receptor signaling complex for TRAF-mediated activation of NF-kappaB."
